"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 01, 2021","124.00","124.20","124.80","123.60","1.03M","-0.16%"
"May 31, 2021","124.20","124.00","124.20","123.20","1.15M","0.49%"
"May 30, 2021","123.60","124.20","124.80","123.20","1.10M","-0.48%"
"May 27, 2021","124.20","122.20","124.20","122.20","3.02M","1.64%"
"May 26, 2021","122.20","121.60","123.00","121.60","762.31K","0.66%"
"May 25, 2021","121.40","121.00","122.40","120.80","1.40M","0.50%"
"May 24, 2021","120.80","120.80","121.80","120.60","842.31K","0.00%"
"May 23, 2021","120.80","121.00","121.40","120.60","573.99K","-0.17%"
"May 20, 2021","121.00","122.20","123.00","120.80","1.55M","-1.79%"
"May 19, 2021","123.20","123.20","124.40","122.60","778.86K","-0.48%"
"May 18, 2021","123.80","123.60","125.40","123.60","1.66M","0.16%"
"May 17, 2021","123.60","122.60","123.60","122.00","971.29K","0.65%"
"May 10, 2021","122.80","120.00","122.80","120.00","1.34M","2.50%"
"May 09, 2021","119.80","121.00","121.00","119.80","645.93K","-0.99%"
"May 06, 2021","121.00","120.60","121.40","119.60","1.49M","0.33%"
"May 05, 2021","120.60","122.20","122.40","120.60","757.81K","-1.15%"
"May 04, 2021","122.00","120.80","122.00","120.80","1.07M","0.99%"
"May 03, 2021","120.80","122.00","122.20","120.80","1.28M","-1.15%"
"May 02, 2021","122.20","123.60","123.60","121.60","1.44M","-1.45%"
"Apr 29, 2021","124.00","127.60","127.60","122.80","2.46M","-2.97%"
"Apr 28, 2021","127.80","121.00","128.20","120.80","5.76M","6.50%"
"Apr 27, 2021","120.00","120.00","120.00","119.40","1.24M","0.00%"
"Apr 26, 2021","120.00","119.40","120.00","118.60","1.23M","0.50%"
"Apr 25, 2021","119.40","119.80","120.00","119.00","560.67K","-0.33%"
"Apr 22, 2021","119.80","119.40","119.80","119.00","914.41K","0.34%"
"Apr 21, 2021","119.40","119.60","120.00","118.80","1.24M","-0.33%"
"Apr 20, 2021","119.80","119.20","120.00","119.20","1.24M","0.34%"
"Apr 19, 2021","119.40","117.00","119.40","117.00","2.13M","2.05%"
"Apr 18, 2021","117.00","116.40","117.40","116.40","880.53K","0.34%"
"Apr 15, 2021","116.60","115.20","116.60","114.60","1.28M","1.39%"
"Apr 14, 2021","115.00","116.00","116.00","113.60","1.06M","-1.71%"
"Apr 13, 2021","117.00","116.40","117.20","116.20","821.79K","0.69%"
"Apr 12, 2021","116.20","115.80","116.20","114.20","1.48M","0.52%"
"Apr 11, 2021","115.60","117.20","117.60","114.80","972.85K","-1.53%"
"Apr 08, 2021","117.40","116.20","117.40","116.20","898.97K","0.69%"
"Apr 07, 2021","116.60","116.80","117.40","116.00","901.66K","-0.51%"
"Apr 06, 2021","117.20","116.20","117.40","115.20","1.24M","0.34%"
"Apr 05, 2021","116.80","117.60","117.60","116.80","691.44K","-0.68%"
