Date,Price,Open,High,Low,Vol.,Change %
"Jun 01, 2021","23,925.19","23,588.59","24,032.07","23,342.43",642.59K,1.72%
"May 31, 2021","23,519.96","23,866.75","23,947.25","23,440.51",594.53K,-1.44%
"May 30, 2021","23,863.69","23,770.46","23,910.12","23,757.46",483.51K,0.89%
"May 27, 2021","23,653.59","23,743.71","24,038.46","23,617.81",1.02M,-0.32%
"May 26, 2021","23,730.43","23,921.45","24,338.79","23,646.25",606.71K,-2.21%
"May 25, 2021","24,267.95","24,349.54","24,349.54","24,030.00",516.08K,-0.13%
"May 24, 2021","24,299.73","23,821.51","24,802.32","23,818.05",547.35K,-1.05%
"May 23, 2021","24,557.23","24,147.62","24,584.10","24,131.23",399.49K,1.54%
"May 20, 2021","24,184.02","25,003.46","25,008.13","24,184.02",581.21K,-3.09%
"May 19, 2021","24,956.30","25,092.20","25,109.63","24,283.48",630.4K,-0.54%
"May 18, 2021","25,092.20","25,179.45","25,279.87","24,997.00",451.98K,-0.54%
"May 17, 2021","25,228.76","24,923.43","25,242.63","24,727.15",594.33K,1.38%
"May 10, 2021","24,885.77","25,581.61","25,595.17","24,885.77",662.3K,-2.60%
"May 09, 2021","25,549.09","25,657.58","25,676.01","25,047.35",313.49K,-0.41%
"May 06, 2021","25,655.06","25,457.26","25,672.88","25,289.05",592.12K,0.78%
"May 05, 2021","25,457.26","25,019.05","25,602.45","24,941.25",385.55K,1.87%
"May 04, 2021","24,989.51","24,560.16","25,083.76","24,540.37",346.2K,1.82%
"May 03, 2021","24,542.80","23,712.76","24,733.43","23,712.76",442.11K,3.67%
"May 02, 2021","23,674.95","24,260.81","24,260.81","23,655.74",194.17K,-2.21%
"Apr 29, 2021","24,209.11","24,107.54","24,775.32","23,986.05",195.9K,0.17%
"Apr 28, 2021","24,168.42","24,779.53","25,603.61","24,168.42",398.37K,-2.16%
"Apr 27, 2021","24,701.66","24,722.35","24,788.39","24,523.09",190.22K,-0.19%
"Apr 26, 2021","24,748.20","24,064.02","24,748.20","24,011.55",142.9K,2.84%
"Apr 25, 2021","24,064.02","24,252.73","24,443.81","24,064.02",104.84K,-0.78%
"Apr 22, 2021","24,252.73","24,801.94","24,822.01","24,237.10",284.54K,-2.29%
"Apr 21, 2021","24,822.01","24,385.56","24,939.86","24,384.47",210.28K,1.70%
"Apr 20, 2021","24,406.06","24,561.35","24,632.26","24,067.25",206.84K,-0.63%
"Apr 19, 2021","24,561.35","24,007.65","24,625.52","23,953.06",431.86K,2.31%
"Apr 18, 2021","24,007.65","24,037.58","24,074.49","23,892.19",78.35K,-0.29%
"Apr 15, 2021","24,078.56","23,895.68","24,096.10","23,835.42",84.97K,0.82%
"Apr 14, 2021","23,882.75","23,855.76","23,985.99","23,572.11",126.35K,0.32%
"Apr 13, 2021","23,805.77","23,539.12","24,380.53","23,539.12",227.54K,1.15%
"Apr 12, 2021","23,535.69","23,830.64","23,940.72","23,497.30",213.94K,-1.32%
"Apr 11, 2021","23,851.14","23,497.44","23,926.55","23,494.10",582.15K,1.84%
"Apr 08, 2021","23,420.50","23,388.35","23,856.56","23,348.35",292.7K,0.06%
"Apr 07, 2021","23,406.71","23,277.15","23,475.50","22,873.94",248.59K,0.55%
"Apr 06, 2021","23,279.35","24,123.96","24,235.84","23,252.75",227.13K,-3.64%
"Apr 05, 2021","24,157.62","24,553.55","24,553.55","23,918.45",155.27K,-1.04%
"Apr 04, 2021","24,410.89","24,311.29","24,410.89","24,155.62",149.49K,0.16%
"Apr 01, 2021","24,372.76","24,258.51","24,372.76","23,926.19",119.63K,0.33%
"Mar 31, 2021","24,291.91","24,151.79","24,291.91","23,812.08",353.52K,0.58%
"Mar 30, 2021","24,151.79","23,771.88","24,151.79","23,563.75",171.75K,1.54%
"Mar 29, 2021","23,786.19","23,641.45","23,831.09","23,600.58",175.43K,0.22%
"Mar 28, 2021","23,733.30","23,680.10","23,913.04","23,655.17",239.24K,-0.10%
"Mar 25, 2021","23,756.08","24,315.48","24,315.48","23,730.20",274.91K,-2.16%
"Mar 24, 2021","24,280.86","24,052.88","24,403.11","23,904.25",422.9K,0.93%
"Mar 23, 2021","24,057.65","24,391.67","24,391.67","24,004.57",216.42K,-1.47%
"Mar 22, 2021","24,415.52","24,181.93","24,704.24","24,062.05",343.29K,1.27%
"Mar 21, 2021","24,110.36","24,396.65","24,528.71","24,110.36",225.34K,-1.61%
"Mar 18, 2021","24,505.33","23,766.65","24,558.15","23,766.65",328.58K,2.84%
