"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 01, 2021","10,597.42","10,560.85","10,644.34","10,552.67","499.94M","0.44%"
"May 31, 2021","10,551.23","10,561.46","10,569.50","10,514.97","464.24M","0.03%"
"May 30, 2021","10,547.67","10,529.76","10,571.98","10,519.24","408.59M","0.27%"
"May 27, 2021","10,519.52","10,472.41","10,519.52","10,461.53","382.97M","0.46%"
"May 26, 2021","10,471.55","10,452.61","10,490.16","10,447.57","302.15M","0.23%"
"May 25, 2021","10,448.00","10,331.98","10,448.00","10,331.98","319.71M","1.25%"
"May 24, 2021","10,318.51","10,349.62","10,375.51","10,318.51","382.71M","-0.25%"
"May 23, 2021","10,343.86","10,352.67","10,367.67","10,307.83","356.68M","0.04%"
"May 20, 2021","10,339.85","10,369.58","10,381.15","10,313.11","297.88M","-0.32%"
"May 19, 2021","10,372.54","10,427.04","10,431.19","10,360.29","263.02M","-0.49%"
"May 18, 2021","10,423.51","10,424.23","10,492.97","10,401.38","317.84M","0.26%"
"May 17, 2021","10,396.44","10,332.98","10,413.19","10,318.47","298.20M","0.71%"
"May 10, 2021","10,322.68","10,235.72","10,322.68","10,233.15","222.05M","0.92%"
"May 09, 2021","10,228.19","10,244.86","10,273.28","10,209.91","172.40M","-0.00%"
"May 06, 2021","10,228.35","10,254.88","10,258.27","10,170.53","245.64M","-0.23%"
"May 05, 2021","10,252.15","10,324.70","10,332.38","10,252.15","241.25M","-0.65%"
"May 04, 2021","10,318.94","10,320.96","10,354.03","10,253.32","238.91M","0.09%"
"May 03, 2021","10,309.37","10,381.40","10,386.34","10,309.37","270.27M","-0.54%"
"May 02, 2021","10,365.51","10,406.06","10,416.48","10,330.72","321.05M","-0.51%"
"Apr 29, 2021","10,418.98","10,493.64","10,503.33","10,382.49","356.29M","-1.07%"
"Apr 28, 2021","10,531.22","10,328.49","10,540.17","10,308.60","457.40M","2.57%"
"Apr 27, 2021","10,267.17","10,226.35","10,267.17","10,205.03","359.50M","0.35%"
"Apr 26, 2021","10,231.06","10,155.11","10,231.06","10,139.97","309.56M","0.87%"
"Apr 25, 2021","10,142.48","10,139.08","10,173.30","10,128.99","275.14M","0.08%"
"Apr 22, 2021","10,134.08","10,109.59","10,136.66","10,092.22","260.56M","0.38%"
"Apr 21, 2021","10,095.36","10,127.94","10,142.16","10,095.36","251.78M","-0.21%"
"Apr 20, 2021","10,116.98","10,097.01","10,125.57","10,086.86","345.98M","0.19%"
"Apr 19, 2021","10,097.65","10,062.16","10,097.65","10,007.38","338.52M","0.49%"
"Apr 18, 2021","10,048.70","10,009.61","10,065.05","10,006.10","237.44M","0.61%"
"Apr 15, 2021","9,987.92","9,863.29","9,987.92","9,862.29","225.51M","1.42%"
"Apr 14, 2021","9,847.62","9,820.03","9,847.62","9,767.01","202.95M","0.09%"
"Apr 13, 2021","9,838.28","9,911.53","9,922.00","9,838.28","254.23M","-0.70%"
"Apr 12, 2021","9,907.62","9,927.02","9,929.65","9,846.57","285.60M","-0.31%"
"Apr 11, 2021","9,938.32","10,010.59","10,015.76","9,921.27","302.39M","-0.74%"
"Apr 08, 2021","10,012.13","10,011.35","10,039.23","9,977.15","282.44M","-0.02%"
